time_s,right_foot_y_m,left_foot_y_m,com_y_m,dcm_y_m
8.005000000001003,-0.020992314346478063,0.07472212378047113,0.04353008392444435,0.03759833134884334
8.006000000001002,-0.020992316283325818,0.07472212395373516,0.043489303947274065,0.037346717895488823
8.007000000001002,-0.020992317204583267,0.074722124335411,0.04344709888183964,0.0370933990794595
8.008000000001001,-0.020992317126240098,0.07472212492950739,0.04340346680240496,0.03683836334230406
8.009000000001,-0.020992316065448005,0.07472212573974626,0.04335840571812198,0.036581599047231364
8.010000000001,-0.020992314040248886,0.07472212676954146,0.04331191357293993,0.03632309447857949
8.011000000001,-0.02099231106930465,0.07472212802197879,0.043263988245511475,0.03606283784128119
8.012000000000999,-0.020992307171630947,0.07472212949979792,0.04321462754909591,0.03580081726032566
8.013000000000998,-0.020992302366337177,0.07472213120537549,0.04316382923145941,0.035537020780216755
8.014000000000998,-0.020992296672374372,0.07472213314071036,0.04311159097477224,0.03527143636442746
8.015000000000997,-0.02099229010829341,0.07472213530741038,0.04305791039550303,0.03500405189485066
8.016000000000997,-0.020992282692014173,0.07472213770668062,0.04300278504430999,0.03473485517124627
8.017000000000996,-0.020992274440607882,0.0747221403393128,0.042946212405929156,0.034463833910684534
8.018000000000995,-0.020992265370093247,0.0747221432056771,0.04288818989905963,0.034190975746985555
8.019000000000995,-0.020992255495247563,0.07472214630571464,0.04282871487624581,0.03391626823015509
8.020000000000994,-0.020992244829434004,0.0747221496389321,0.042767784623756556,0.033639698825816446
8.021000000000994,-0.02099223338444515,0.07472215320439701,0.04270539636146141,0.033361254914638594
8.022000000000993,-0.020992221170363912,0.0747221570007351,0.04264154724270372,0.03308092379176034
8.023000000000993,-0.02099220819544219,0.07472216102612891,0.04257623435417076,0.032798692666210674
8.024000000000992,-0.020992194465997333,0.07472216527831718,0.04250945471576079,0.03251454866032506
8.025000000000992,-0.020992179986327207,0.07472216975459617,0.042441205280447106,0.032228478809157954
8.026000000000991,-0.020992164758643135,0.07472217445182192,0.04237148293413897,0.03194047005989115
8.02700000000099,-0.020992148783021997,0.07472217936641369,0.042300284495539554,0.031650509271238275
8.02800000000099,-0.02099213205737617,0.07472218449435858,0.04222760671600078,0.031358583212845126
8.02900000000099,-0.020992114577442416,0.07472218983121748,0.042153446279375076,0.031064678564686022
8.030000000000989,-0.020992096336788474,0.07472219537213146,0.04207779980186406,0.030768781916456017
8.031000000000988,-0.02099207732683803,0.07472220111183026,0.04200066383186418,0.030470879766959044
8.032000000000988,-0.020992057536913376,0.07472220704464054,0.041922034849809185,0.030170958523491852
8.033000000000987,-0.02099203695429544,0.07472221316449607,0.041841909268009556,0.029869004501223807
8.034000000000987,-0.02099201556430117,0.0747222194649485,0.0417602834304888,0.029565003922572487
8.035000000000986,-0.02099199335037751,0.07472222593917834,0.04167715361281663,0.029258942916575027
8.036000000000985,-0.020991970294211834,0.07472223258000824,0.041592516021939044,0.02895080751825521
