time_s,left_hip_yaw_Nm,left_hip_roll_Nm,left_hip_pitch_Nm,left_knee_Nm,left_ankle_Nm,right_hip_yaw_Nm,right_hip_roll_Nm,right_hip_pitch_Nm,right_knee_Nm,right_ankle_Nm
1.1379999999999855,0.006488077655547934,0.5019666124233702,0.792160808257879,-2.0944345357865197,1.3577355597145364,0.007692952653217445,1.3955039872282304,0.18373710729054596,-0.9948523259368053,0.3119007245863276
1.1389999999999854,0.0070226841051605985,0.5136101846397452,0.7247701297613097,-1.9610074956574315,1.2923714212153523,0.007026096472352139,1.4023558723426968,0.18773059751868126,-0.9859786647968558,0.3134692161400806
1.1399999999999852,0.007557759395138506,0.5254032601651242,0.6561692292192477,-1.8250471379333708,1.2256612584140596,0.006359704124182073,1.4092086671438666,0.19173624388640387,-0.9771687977008704,0.31509859200648166
1.1409999999999851,0.008092608684612606,0.5373438104213916,0.5864225900567914,-1.6866937303058238,1.1576804070077806,0.005694990169765803,1.4160622755290486,0.1957475138014887,-0.9684409892615489,0.31679170864416656
1.141999999999985,0.008626503447401025,0.5494296591926562,0.5155999049279242,-1.5460971977964904,1.0885087608940802,0.005033235541256082,1.4229166251498913,0.19975775830113818,-0.9598139424117026,0.31855123125428025
1.142999999999985,0.009158681358839106,0.561658468480724,0.4437762282928668,-1.4034174135418203,1.0182309117226673,0.0043757879949444375,1.429771667106475,0.20376021241201583,-0.9513067980585341,0.32037962538821485
1.1439999999999848,0.009688346348075808,0.574027723632042,0.37103211530098346,-1.2588244649669103,0.9469362771007916,0.00372406225455386,1.4366273755922578,0.20774799532260746,-0.9429391338452061,0.32227914955598636
1.1449999999999847,0.010214668828684057,0.5865347177261317,0.29745374509814204,-1.1124988916102987,0.8747192155601893,0.0030795398177786816,1.4434837474794389,0.2117141103384656,-0.9347309619918004,0.32425184897138626
1.1459999999999846,0.010736786120457333,0.5991765352175615,0.2231330266291338,-0.9646318907689264,0.8016791263496554,0.002443768400155663,1.4503408018421062,0.21565144459564778,-0.9267027261629815,0.3262995505624598
1.1469999999999845,0.011253803074119852,0.6119500348230114,0.14816768497191113,-0.8154254870726501,0.7279205320896397,0.00181836099264348,1.4571985794125986,0.21955276850599892,-0.9188752973167602,0.32842385938210483
1.1479999999999844,0.011764792910179572,0.6248518316398988,0.07266132624001731,-0.6650926620912929,0.6535531423236408,0.001204994506993976,1.4640571419674646,0.22341073490971053,-0.9112699684963641,0.33062615654875716
1.1489999999999843,0.012268798282602578,0.6378782784879249,-0.0032765208959792957,-0.513857440114184,0.5786918960236005,0.0006054079856378329,1.4709165716309869,0.22721787791203746,-0.9039084485278863,0.3329075988488099
1.1499999999999841,0.012764832576937366,0.6510254464604462,-0.07953038895624376,-0.3619549263515265,0.503456981156353,2.1400357303823876e-05,1.4777769701059071,0.2309666113841565,-0.8968128545828954,0.33526912012289095
1.150999999999984,0.013251881449627273,0.6642891046725052,-0.15597888249103553,-0.20963129394294056,0.427973829494645,-0.0005451722841008416,1.4846384578150444,0.23464922710776007,-0.8900057035814374,0.3377114345506003
1.151999999999984,0.013728904615277052,0.6776646991931102,-0.23249471771630748,-0.05714371638347737,0.352373084963302,-0.001092399886267048,1.4915011729599899,0.23825789254998633,-0.883509902410373,0.34023504194342813
1.1529999999999838,0.014194837886120262,0.6911473311464976,-0.3089447924854447,0.09523975770889681,0.2767905439673437,-0.0016183221513325803,1.4983652704931085,0.24178464825942628,-0.8773487369319704,0.34284023513461354
1.1539999999999837,0.014648595464229069,0.7047317339688535,-0.38519028796716004,0.24724039022214495,0.20136706632184143,-0.0021209327559653392,1.5052309209988253,0.2452214048661772,-0.8715458597932702,0.345527109554794
1.1549999999999836,0.015089072486614893,0.7184122498061094,-0.46108680317010187,0.39856900187828614,0.1262484556132919,-0.0025981840834875306,1.5120983094911293,0.2485599396980806,-0.8661252770172198,0.34829557504388686
