time_s,right_foot_x_m,left_foot_x_m,com_x_m,dcm_x_m
0.9690000000000007,-0.002979914863487147,-0.011141082418757671,-0.00536714054120047,-0.0007328148281027765
0.9700000000000008,-0.0029799908015580986,-0.011084446885595772,-0.0053358905462875805,-0.0007175622153008073
0.9710000000000008,-0.0029800648926602133,-0.011026584198508688,-0.005304747899065957,-0.0007022062247333859
0.9720000000000008,-0.002980137186392459,-0.010967496166811717,-0.005273711178556387,-0.0006867461557361378
0.9730000000000008,-0.002980207731096558,-0.010907185061565378,-0.00524277896861289,-0.0006711813028957916
0.9740000000000008,-0.002980276573879972,-0.010845653609773274,-0.005211949857858099,-0.0006555109560179894
0.9750000000000008,-0.002980343760637494,-0.010782904988603076,-0.00518122243961887,-0.000639734400094882
0.9760000000000008,-0.0029804093360736735,-0.010718942819632114,-0.005150595311862091,-0.0006238509152725075
0.9770000000000008,-0.002980473343724279,-0.010653771163118088,-0.005120067077130712,-0.0006078597768179421
0.9780000000000008,-0.0029805358259779972,-0.010587394512295808,-0.005089636342479981,-0.0005917602550862319
0.9790000000000008,-0.002980596824097807,-0.010519817787700966,-0.005059301719413889,-0.0005755516154871054
0.9800000000000008,-0.002980656378241924,-0.01045104633152119,-0.005029061823821814,-0.0005592331184514502
0.9810000000000008,-0.002980714527484978,-0.010381085901975546,-0.004998915275915367,-0.0005428040193975713
0.9820000000000008,-0.0029807713098388587,-0.010309942667722387,-0.004968860700165435,-0.0005262635686972134
0.9830000000000008,-0.002980826762273031,-0.010237623202297286,-0.004938896725239415,-0.0005096110116413624
0.9840000000000008,-0.0029808809207355095,-0.010164134478579414,-0.00490902198393865,-0.0004928455884058054
0.9850000000000008,-0.002980933820172834,-0.010089483863289428,-0.004879235113136039,-0.0004759665340164608
0.9860000000000008,-0.0029809854945505036,-0.01001367911151617,-0.004849534753713843,-0.0004589730783144761
0.9870000000000008,-0.002981035976872758,-0.009936728361274714,-0.004819919550501674,-0.00044186444592108926
0.9880000000000008,-0.0029810852992028236,-0.009858640128094252,-0.004790388152214656,-0.000424639856202242
0.9890000000000008,-0.002981133492682463,-0.00977942329963638,-0.004760939211391772,-0.00040729852323297035
0.9900000000000008,-0.0029811805875515855,-0.009699087130343243,-0.004731571384334381,-0.0003898396557615383
0.9910000000000008,-0.0029812266131679335,-0.009617641236115117,-0.004702283331044905,-0.0003722624571733347
0.9920000000000008,-0.002981271598026125,-0.009535095589017318,-0.004673073715165692,-0.00035456612545452845
0.9930000000000008,-0.002981315569777095,-0.009451460512015139,-0.00464394120391804,-0.0003367498531554724
0.9940000000000008,-0.0029813585552470215,-0.009366746673736156,-0.00461488446804138,-0.0003188128273538598
0.9950000000000008,-0.0029814005804561605,-0.009280965083259481,-0.004585902181732629,-0.0003007542296176351
0.9960000000000008,-0.00298144167063765,-0.009194127084929801,-0.004556993022585697,-0.00028257323596764597
0.9970000000000008,-0.0029814818502559956,-0.00910624435319573,-0.004528155671531142,-0.00026426901684005206
0.9980000000000008,-0.0029815211430256417,-0.009017328887470453,-0.0044993888127759915,-0.00024584073704847064
0.9990000000000008,-0.002981559571928869,-0.008927393007013422,-0.004470691133743698,-0.00022728755574586736
1.0000000000000007,-0.002981597159234096,-0.008836449345831002,-0.004442061325014253,-0.0002086086263861928
1.0010000000000006,-0.0029816339265137013,-0.008744510847594016,-0.004413498080264441,-0.00018980309668575543
1.0020000000000004,-0.0029816698946615668,-0.008651590760570578,-0.0043850000962082315,-0.00017087010858433255
1.0030000000000003,-0.002981705083910707,-0.00855770263257119,-0.004356566072537315,-0.00015180879820602018
